"STATION","NAME","DATE","AWND","PRCP","TAVG","TMAX","TMIN"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-05-21","14.09","0.00","59","70","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-05-22","18.79","0.00","58","67","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-05-23","10.74","0.00","59","74","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-05-24","10.29","0.00","60","80","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-05-25","9.84","0.00","66","90","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-05-26","9.62","0.00","68","89","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-05-27","14.32","0.00","71","78","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-05-28","14.99","0.00","59","67","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-05-29","11.18","0.00","60","71","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-05-30","9.40","0.02","65","71","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-05-31","9.62","0.00","62","67","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-06-01","12.08","0.00","62","72","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-06-02","10.07","0.00","65","87","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-06-03","11.41","0.00","70","89","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-06-04","11.63","0.00","66","79","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-06-05","15.66","0.00","60","64","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-06-06","19.46","0.00","59","66","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-06-07","21.70","0.00","59","66","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-06-08","13.65","0.00","60","73","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-06-09","12.08","0.00","63","82","52"
